Index,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Gamba,GA,2022-10-28 18:27:47,-2.65,10.0,78.15,89,79,6.11
257,Surskoye,RU,2022-10-28 18:27:49,54.4821,46.7214,36.54,93,100,1.01
258,Tazovskiy,RU,2022-10-28 18:27:49,67.4667,78.7,20.68,92,52,15.41
259,Castro,BR,2022-10-28 18:27:50,-24.7911,-50.0119,77.47,55,63,9.24
260,Millau,FR,2022-10-28 18:27:50,44.0833,2.9167,66.33,89,73,5.12
261,Salinas,US,2022-10-28 18:25:17,36.6777,-121.6555,65.57,55,0,4.61
262,Menzelinsk,RU,2022-10-28 18:27:51,55.7271,53.1026,31.55,89,100,4.47
263,Benghazi,LY,2022-10-28 18:27:51,32.1167,20.0667,71.49,62,0,23.31
264,Umm Lajj,SA,2022-10-28 18:27:53,25.0213,37.2685,80.76,61,4,10.71
265,Krasnoselkup,RU,2022-10-28 18:27:53,65.7,82.4667,24.21,96,100,12.68
266,Viransehir,TR,2022-10-28 18:27:54,37.2353,39.7631,65.23,31,2,8.3
267,Ajdabiya,LY,2022-10-28 18:27:55,30.7554,20.2263,70.93,69,0,8.34
268,Adrar,MR,2022-10-28 18:27:55,20.5022,-10.0711,89.35,11,9,10.89
269,Tema,GH,2022-10-28 18:27:55,5.667,-0.0166,82.81,83,75,8.05
270,Kilindoni,TZ,2022-10-28 18:27:56,-7.9139,39.6668,77.13,83,41,13.2
271,Rocha,UY,2022-10-28 18:27:56,-34.4833,-54.3333,83.21,44,11,11.1
272,Riberalta,BO,2022-10-28 18:27:58,-10.9833,-66.1,80.8,78,100,6.91
273,Yar-Sale,RU,2022-10-28 18:27:59,66.8333,70.8333,22.39,80,76,16.84
274,Muscat,OM,2022-10-28 18:28:00,23.6139,58.5922,80.62,56,0,2.82
275,Inhambane,MZ,2022-10-28 18:28:00,-23.865,35.3833,72.66,85,96,8.77
276,Bojnurd,IR,2022-10-28 18:29:01,37.4747,57.329,53.55,82,0,6.91
277,Frolovo,RU,2022-10-28 18:29:01,49.7713,43.6622,39.38,89,100,9.19
278,Nosy Varika,MG,2022-10-28 18:29:02,-20.5833,48.5333,73.89,74,39,9.13
279,Rudbar,AF,2022-10-28 18:29:03,30.15,62.6,72.68,15,94,3.22
280,Mezen,RU,2022-10-28 18:29:04,65.8522,44.24,30.78,95,100,9.15
281,Cumberland,US,2022-10-28 18:29:05,35.0502,-78.8664,70.48,62,100,10.36
282,Areia Branca,BR,2022-10-28 18:29:05,-4.9561,-37.1369,95.2,63,75,19.93
283,San Carlos De Bariloche,AR,2022-10-28 18:29:06,-41.1456,-71.3082,55.24,35,40,43.73
284,Katyuzhanka,UA,2022-10-28 18:29:06,50.806,30.1376,48.94,93,100,6.33
285,Krasnoyarskiy,RU,2022-10-28 18:29:07,51.965,59.8967,24.44,77,65,5.93
286,San Felipe,VE,2022-10-28 18:29:09,10.3399,-68.7425,87.1,58,52,5.91
287,Xuddur,SO,2022-10-28 18:29:11,4.1213,43.8894,75.63,75,95,4.72
288,Elbistan,TR,2022-10-28 18:29:11,38.2059,37.1983,51.62,41,24,2.48
289,Soyo,AO,2022-10-28 18:29:12,-6.1349,12.3689,78.75,83,59,8.97
290,Ormara,PK,2022-10-28 18:29:13,25.2088,64.6357,79.29,73,93,4.94
291,Uyemskiy,RU,2022-10-28 18:29:13,64.4743,40.8524,32.05,100,100,6.71
